title,year,authors,citations,abstract
MicroRNA-182-5p Inhibits Hypertrophic Scar Formation by Inhibiting the Proliferation and Migration of Fibroblasts via SMAD4 Pathway,2023,"Mingzhu Jin, Xiao Xu",9,"Introduction Secondary to war wounds, trauma, etc., hypertrophic scar formation is the cause of an excessive proliferation of fibroblasts and accumulation of collagen fibers, which might affect cosmet"
MiR‐182‐3p targets TRF2 and impairs tumor growth of triple‐negative breast cancer,2022,"Roberto Dinami, Luca Pompili, E. Petti",37,The telomeric repeat‐binding factor 2 (TRF2) is a telomere‐capping protein that plays a key role in the maintenance of telomere structure and function. It is highly expressed in different cancer types
Circular RNA hsa_circ_0001658 regulates apoptosis and autophagy in gastric cancer through microRNA-182/Ras-related protein Rab-10 signaling axis,2022,"Xinxing Duan, Xiong Yu, Zhengrong Li",27,ABSTRACT Gastric cancer (GC) is a tumor with high incidence and lack of early diagnostic markers. The aim of this study was to explore novel regulatory circular RNAs (circRNAs) in GC and their underly
Blueberry anthocyanins extract attenuated diabetic retinopathy by inhibiting endoplasmic reticulum stress via the miR-182/OGG1 axis.,2022,"Chaoqun Wang, Kun Wang, Peifeng Li",28,"BACKGROUND
Previous studies have found that blueberry anthocyanin extract (BAE) could prevent diabetic retinopathy (DR) development, but the underlying molecular mechanism is still a mystery.


METHOD"
Hypoxic bone marrow mesenchymal stromal cells‐derived exosomal miR‐182‐5p promotes liver regeneration via FOXO1‐mediated macrophage polarization,2022,"Jing Xu, Peng Chen, Chaoqun Yu",42,Mesenchymal stromal cells (MSCs) are attractive candidates for treating hepatic disorders given their potential to enhance liver regeneration and function. The paracrine paradigm may be involved in th
MicroRNA-182-5p Attenuates Asthmatic Airway Inflammation by Targeting NOX4,2022,"Zhiguang Wang, Yilan Song, Jingzhi Jiang",22,"Bronchial asthma is characterized by chronic airway inflammation, airway hyperresponsiveness, and airway remodeling. MicroRNA (miRNA) has recently been implicated in the pathogenesis of asthma. Howeve"
Role of MicroRNA-223 and MicroRNA-182 as Novel Biomarkers in Early Detection of Colorectal Cancer,2022,"H. Mahmoud, H. E. El Amin, E. Ahmed",18,"Background Colorectal cancer is a common and lethal disease. It is estimated that approximately 145,600 new cases of large bowel cancer are diagnosed annually in the USA. MiRNA-223 and miRNA-182 have "
The microRNA-183/96/182 cluster inhibits lung cancer progression and metastasis by inducing an interleukin-2-mediated antitumor CD8+ cytotoxic T-cell response,2022,"S. Kundu, B. L. Rodriguez, Laura Gibson",21,"Here, Kundu et al. investigated the role of the microRNA-183/96/182 cluster (m96cl) in lung cancer and used a novel conditional m96cl mouse to establish that loss of m96cl accelerated the growth of K-"
MiR-182-5p Mediated by Exosomes Derived From Bone Marrow Mesenchymal Stem Cell Attenuates Inflammatory Responses by Targeting TLR4 in a Mouse Model of Myocardial Infraction,2022,"Chuang Sun, Wei Li, Yanhong Li",18,"Exosomes derived from mesenchymal stem cells (MSCs) could protect against myocardial infarction (MI). TLR4 is reported to play an important role in MI, while microRNA-182-5p (miR-182-5p) negatively re"
MiR-182-5p Modulates Prostate Cancer Aggressive Phenotypes by Targeting EMT Associated Pathways,2022,"M. F. Souza, I. Cólus, A. S. Fonseca",18,"Prostate cancer (PCa) is a clinically heterogeneous disease, where deregulation of epigenetic events, such as miRNA expression alterations, are determinants for its development and progression. MiR-18"
miR-182-5p combined with brain-derived neurotrophic factor assists the diagnosis of chronic heart failure and predicts a poor prognosis,2022,"Fang Fang, Xiaonan Zhang, Bin Li",17,Objective Chronic heart failure (CHF) is a general progressive disorder with high morbidity and poor prognosis. This study analyzed the serum expression and clinical value of miR-182-5p and brain-deri
circRNA_0025202 Regulates Tamoxifen Sensitivity and Tumor Progression via Regulating the miR-182-5p/FOXO3a Axis in Breast Cancer.,2019,"Y. Sang, Bing Chen, Xiaojing Song",361,"Tamoxifen is the most commonly used endocrine therapy for patients with hormone receptor (HR)-positive breast cancer. Despite its initial therapeutic efficacy, many patients eventually develop drug re"
