title,year,authors,citations,abstract
THE SWITCH ELECTRIC DRIVE CONTROL SYSTEM WITH LIMITATION OF THE FINAL SPEED OF TRANSMISSION,2025,"Vladimir Khismatulin, Andrii Prylypko, A. Sosunov",0,The algorithm of operation of switch electric drives (the electric motor together with a reducer and a safety friction clutch) in railway transport is constructed in such a way that at the moment of c
Single Response Electroplated Metal Microwires-Based Microfluidic Electronic Tongue for Taste Discrimination,2023,"Sarika Yadav, Rajendra Kumar Sahu, Raj Ganesh S. Pala",10,"We demonstrate a microfluidic electronic tongue (MET) by analy- zing a single equivalent admittance spectrum of stainless-steel microwires electroplated with copper, nickel, iron, and zinc connected i"
Tongue bite injury after use of transcranial electric stimulation motor-evoked potential monitoring,2014,"Aparna Williams, Georgene Singh",9,"Journal of Anaesthesiology Clinical Pharmacology | July-September 2014 | Vol 30 | Issue 3 439 on the patient’s condition and a communication between the anesthesiologist, surgeon and interventional ra"
Oral mucosa lesions in electric smokers (E-Cigarettes): A scoping review,2024,"Syafriaz Zulfa Maulina, A.Sar anya, Firdausy",1,"Background: Electronic cigarettes are one form of cigarettes that are popular in society. However, their impact on health, especially oral health, is not better than conventional cigarettes because th"
Long latency responses in tongue muscle elicited by various stimulation sites in anesthetized humans - New insights into tongue-related brainstem reflexes.,2022,"A. Szelényi, E. Fava",14,"BACKGROUND
Long Latency Responses (LLR) in tongue muscles are a scarcely described phenomenon, the physiology of which is uncertain.


OBJECTIVES
The aim of this exploratory, observational study was t"
"Electromyography: Processing, Muscles' Electric Signal Analysis, and Use in Myofunctional Orthodontics",2023,"Shweta Tagore, Amit Reche, Priyanka Paul",7,"Electromyography, commonly known as EMG, utilizes superficial or needle electrodes to record and analyze the fundamental electrical characteristics of skeletal muscles, determining whether the muscles"
Modelling the tongue-of-ionisation using CTIP with SuperDARN electric potential input: verification by radiotomography,2009,"S. E. Pryse, E. Whittick, A. Aylward",6,"Abstract. Electric potential patterns obtained by the SuperDARN radar network are used as input to the Coupled Thermosphere-Ionosphere-Plasmasphere model, in an attempt to improve the modelling of the"
Electrochemical Assessment of Anticancer Compounds on the Human Tongue Squamous Carcinoma Cells,2020,"Chun-Chung Huang, T. Tung, Chien-Chu Huang",14,The most common oral cancer is squamous cell carcinoma (SCC) and its highest occurrence is in the tongue. Almost 30% of patients with one primary head and neck tumor will have a second primary maligna
A bioinspired in vitro bioelectronic tongue with human T2R38 receptor for high-specificity detection of N-C=S-containing compounds.,2019,"Chunlian Qin, Zhen Qin, Dong-Xiao Zhao",25,Detection and identification of bitter compounds draw great attention in pharmaceutical and food industry. Several well-known agonists of specific bitter taste receptors have been found to exhibit ant
Triple Langmuir probe measurements in a low-energy tongue-flared configuration plasma thruster,2021,"H. C. Lee, C. H. Lim, Y. Lau",7,"Abstract The pulsed plasma thruster is a type of electric propulsion, which has attracted a lot of interest due to its application in microsatellite. In this study, a side-fed, tongue-flared configura"
Local Electric Field Changes during the Photoconversion of the Bathy Phytochrome Agp2.,2021,"A. Kraskov, Johannes von Sass, Anh Duc Nguyen",18,"Phytochromes switch between a physiologically inactive and active state via a light-induced reaction cascade, which is initiated by isomerization of the tetrapyrrole chromophore and leads to the funct"
Augmented Flavours: Modulation of Flavour Experiences Through Electric Taste Augmentation.,2019,"Nimesha Ranasinghe, David Tolley, Thi Ngoc Tram Nguyen",43,In recent years there has been a growing interest in the potential benefits and new applications that may be afforded by incorporating digital flavour augmentation technologies into traditional eating
Impedimetric electronic tongue based on nanocomposites for the analysis of red wines. Improving the variable selection method,2018,"C. García-Hernández, C. Salvo Comino, F. Martín-Pedrosa",28,"Abstract An impedimetric electronic tongue to discriminate red wines with similar characteristics (same region, vintage and ageing method) is developed. The excellent performance achieved is due to th"
Electric field aspects in hypoglossal nerve stimulation for obstructive sleep apnea: A bilateral electrophysiological evaluation of unilateral electrode configuration changes,2022,"A. Steffen, Florian Joffrey Moritz, I. König",4,"Hypoglossal nerve stimulation is an established treatment option for obstructive sleep apnea in selected patients. A unilateral hypoglossal nerve stimulation system was approved a decade ago, yet the "
Flexible Tongue Electrode Array System for In Vivo Mapping of Electrical Signals of Taste Sensation.,2021,"Shuang Huang, Tao Zhang, Hongbo Li",3,"Tongue is a unique organ that senses tastes, and the scientific puzzle about whether electricity can evoke taste sensations and how the sensations have been distributed on the tongue has not been solv"
