title,year,authors,citations,abstract
"Covert Communication in the Presence of an Uninformed, Informed, and Coordinated Jammer",2022,"Hassan ZivariFard, M. Bloch, Aria Nosratinia",18,This paper is eligible for the Jack Keil Wolf ISIT Student Paper Award. This paper investigates covert communication in the presence of a cooperative jammer. Covert communication refers to the inabili
Implementation and Testing of a Retrodirective Cross-Eye Jammer,2022,"Frans-Paul Pieterse, W. P. Plessis",17,"One of the few electronic attack techniques that can deceive radars in angle is cross-eye jamming, which mimics the naturally-occurring phenomenon glint. The extreme tolerance requirements of cross-ey"
IRS-Aided Uplink Security Enhancement via Energy-Harvesting Jammer,2022,"Tiantian Qiao, Yang Cao, Jie Tang",17,"In this paper, we investigate the security enhancement by combining intelligent reflecting surface (IRS) and energy harvesting (EH) jammer for the uplink transmission. Specifically, we propose an IRS-"
A Learning-Based Spectrum Access Stackelberg Game: Friendly Jammer-Assisted Communication Confrontation,2021,"Nan Qi, Wei Wang, Ming Xiao",51,"Defensive and offensive capabilities are both significant in communication confrontation games. By exploiting the above two capabilities, a new confrontation mechanism in the spectrum domain between t"
Achieving Covert Communication in Uplink NOMA Systems via Energy Harvesting Jammer,2021,"Liwei Tao, Weiwei Yang, Xingbo Lu",41,"This letter investigates covert communication in uplink NOMA systems assisted by an energy harvesting jammer (EHJ), where a reliability-required user (RRU) and a covertness-required user (CRU) are pai"
Jammer Classification in GNSS Bands Via Machine Learning Algorithms,2019,"Ruben Morales Ferre, A. Fuente, E. Lohan",106,"This paper proposes to treat the jammer classification problem in the Global Navigation Satellite System bands as a black-and-white image classification problem, based on a time-frequency analysis and"
Improving Physical Layer Security via a UAV Friendly Jammer for Unknown Eavesdropper Location,2018,"Yi Zhou, Phee Lep Yeoh, H. Chen",174,"In this correspondence paper, we consider an unmanned aerial vehicle (UAV) equipped with an air-to-ground friendly jammer assisting secure communications between a legitimate transmitter–receiver pair"
Optimal Power Adaptation in Covert Communication With an Uninformed Jammer,2020,"Ke Li, P. Kelly, D. Goeckel",63,Covert communication is achieved if a transmitter (Alice) sends a message to a legitimate receiver (Bob) without being detected by an attentive warden (Willie). Recent work has taken an outage approac
On the Security Enhancement of Uplink NOMA Systems With Jammer Selection,2020,"Kunrui Cao, Buhong Wang, Haiyang Ding",53,"We investigate physical layer security of an uplink NOMA system consisting of one base station, multiple users and one eavesdropper. During each uplink transmission, two users are paired to perform NO"
Mainlobe deceptive jammer suppression using element-pulse coding with MIMO radar,2021,"Lan Lan, G. Liao, Jingwei Xu",33,"Abstract Mainlobe deceptive jammer suppression is a critical issue for radar systems. To address this problem, the element-pulse coding (EPC) scheme is proposed in multiple-input multiple-output (MIMO"
Covert Communication in Continuous-Time Systems in the Presence of a Jammer,2021,"Ke Li, Tamara V. Sobers, D. Towsley",21,Covert communication considers the ability of transmitter Alice to communicate reliably to receiver Bob without being detected by warden Willie. Previous work has generally considered a discrete-time 
Denial-of-Service Attacks on Communication Systems: Detectability and Jammer Knowledge,2020,"H. Boche, Rafael F. Schaefer",44,"Wireless communication systems are inherently vulnerable to intentional jamming. In this paper, two classes of such jammers are considered: those with partial and full knowledge. While the first class"
Covert Communication With Cognitive Jammer,2020,"Wenhui Xiong, Yinfeng Yao, Xiaoyu Fu",46,"This letter studied the covert communication with the help of the cognitive jammer over an additive white Gaussian noise (AWGN) channel. The cognitive jammer first senses Alice’s transmission; then, b"
Secrecy Performance Analysis of Wireless Communications in the Presence of UAV Jammer and Randomly Located UAV Eavesdroppers,2019,"Jinchuan Tang, Gaojie Chen, J. Coon",99,Unmanned aerial vehicles (UAVs) have been undergoing fast development for providing broader signal coverage and more extensive surveillance capabilities in military and civilian applications. Due to t
A Lightweight Secure and Resilient Transmission Scheme for the Internet of Things in the Presence of a Hostile Jammer,2020,"Mehdi Letafati, Ali Kuhestani, Kai‐Kit Wong",42,"In this article, we propose a lightweight security scheme for ensuring both information confidentiality and transmission resiliency in the Internet-of-Things (IoT) communication. A single-antenna tran"
“Jam Me If You Can:” Defeating Jammer With Deep Dueling Neural Network Architecture and Ambient Backscattering Augmented Communications,2019,"Nguyen Van Huynh, Diep N. Nguyen, D. Hoang",60,"With conventional anti-jamming solutions like frequency hopping or spread spectrum, legitimate transceivers often tend to “escape” or “hide” themselves from jammers. These reactive anti-jamming approa"
Secrecy Outage Probability Analysis of Friendly Jammer Selection Aided Multiuser Scheduling for Wireless Networks,2019,"Bin Li, Yulong Zou, Jianjiang Zhou",59,"In this paper, we study a multiuser uplink network consisting of one base station (BS), multiple users and one eavesdropper (E), where the users are intended to transmit their confidential messages to"
Performance Analysis for UAV-Jammer Aided Covert Communication,2020,"Wei Liang, Jia Shi, Zhuangzhuang Tie",27,"This paper investigates the performance analysis for a novel covert communication system, where a friendly UAV-jammer is used to protect the covert transmission from Alice to Bob against the eavesdrop"
Self-Learning Bayesian Generative Models for Jammer Detection in Cognitive-UAV-Radios,2020,"Ali Krayani, Mohamad Baydoun, L. Marcenaro",28,"Unmanned Aerial Vehicles (UAVs) attracted both industry and research community owing to their fascinating features like mobility, deployment flexibility and strong Line of Sight (LoS) links. The integ"
Physical Layer Security in Cooperative Energy Harvesting Networks With a Friendly Jammer,2017,"T. M. Hoang, T. Duong, Nguyen-Son Vo",137,"In this letter, we consider a cooperative wireless network consisting of a source, multiple intermediate energy harvesting nodes, and a destination, in the presence of a passive eavesdropper. First, t"
Covert Communication in the Presence of an Uninformed Jammer,2016,"Tamara V. Sobers, Boulat A. Bash, S. Guha",397,"Recent work has established that when transmitter Alice wishes to communicate reliably to recipient Bob without detection by warden Willie, with additive white Gaussian noise (AWGN) channels between a"
Jammer Detection based on Artificial Neural Networks: A Measurement Study,2019,"Selen Gecgel, Caner Goztepe, Günes Karabulut-Kurt",40,Wireless networks are prone to jamming attacks due to the broadcast nature of the wireless transmission environment. The effect of jamming attacks can be further increased as the jammers can focus the
A Scheme for Trustworthy Friendly Jammer Selection in Cooperative Cognitive Radio Networks,2019,"Yingkun Wen, Yan Huo, Liran Ma",43,"In this paper, we consider a centralized cooperative cognitive radio network (CCRN), where a primary base station sends a message to a primary user. Meanwhile, a secondary user transmitter (SU-Tx) act"
Target Localization With Jammer Removal Using Frequency Diverse Array,2019,"Qi Liu, Jingwei Xu, Z. Ding",42,"A foremost task in frequency diverse array multiple-input multiple-output (FDA-MIMO) radar is to efficiently obtain the target signal in the presence of interferences. In this paper, we employ a novel"
Jammer-Aided Secure Communications for Cooperative NOMA Systems,2019,"Chao Yu, Hak-Lim Ko, Xin Peng",29,"This letter investigates a jammer-aided cooperative non-orthogonal multiple access (NOMA) system, where one relay is used to deliver information and other relays are acted as jammers. Two simple relay"
Game Theoretic Strategies Design for Monostatic Radar and Jammer Based on Mutual Information,2019,"Kang Li, B. Jiu, Hongwei Liu",27,"In electronic warfare, the conflict relationship between the radar and the jammer can be modeled using game theory. In this paper, the strategies design problem for the monostatic radar and the jammer"
Delimitated Anti Jammer Scheme for Internet of Vehicle: Machine Learning Based Security Approach,2019,"S. Sushanth Kumar, Karan Singh, Sushil Kumar",53,"Recently, Internet of vehicles (IoV) has witnessed significant research and development attention in both academia and industries due to the potential towards addressing traffic incidences and support"
Optimal Jamming Frequency Selection for Cognitive Jammer based on Reinforcement Learning,2019,"Lulu Wang, Jinlin Peng, Zhidong Xie",23,"In this paper, a cognitive jammer is developed which can adaptively and optimally jam the radar and protect the target from being detected. The interaction of the cognitive jammer and the environment "
Jammer-Assisted Legitimate Eavesdropping in Wireless Powered Suspicious Communication Networks,2019,"Ding Xu, Hongbo Zhu, Qun Li",21,"To enhance public safety, it is necessary to legitimately eavesdrop communication between suspicious users, such as terrorists and criminals. In this paper, we investigate legitimate eavesdropping in "
A Power Control Game with Uncertainty On the Type of the Jammer,2019,"A. Garnaev, A. Petropulu, W. Trappe",20,"We consider a single carrier communication system subjected to jamming, and study optimal power control in the framework of game theory. The user’s transmission utility is the signal-to-interference p"
Mobile jammer-aided secure UAV communications via trajectory design and power control,2018,"An Li, Wenjing Zhang",55,"To further promote the achievable average secrecy rate for UAV-ground communications, a UAV-aided mobile jamming strategy was proposed in this paper. Specifically, an additional cooperative UAV is emp"
Secrecy Outage Performance Analysis for Energy Harvesting Sensor Networks With a Jammer Using Relay Selection Strategy,2018,"Van Nhan Vo, Tri Gia Nguyen, C. So-In",45,"In this paper, we study radio frequency energy harvesting (EH) in a wireless sensor network in the presence of multiple eavesdroppers (EAVs). Specifically, the sensor source and multiple sensor relays"
Optimal Power Allocation and Secrecy Sum Rate in Two-Way Untrusted Relaying Networks With an External Jammer,2018,"Ali Kuhestani, A. Mohammadi, Phee Lep Yeoh",52,"In this paper, we examine the secrecy performance of two-way relaying between a large-scale multiple antenna base station (BS) and a single antenna mobile user (MU) in the presence of a multiple anten"
Mainlobe Deceptive Jammer Suppression with FDA-MIMO Radar,2018,"Jingwei Xu, Jialin Kang, G. Liao",49,Anti-jamming technique has become an increasing demand in radar systems due to the fast development of electronic countermeasures. To alleviate the extremely difficult deceptive jammer suppression pro
In-lab validation of jammer detection and direction finding algorithms for GNSS,2019,"Ruben Morales Ferre, Philipp Richter, A. Fuente",16,Our paper focuses on the detection and direction finding of jamming signals in Global Navigation Satellite System (GNSS)bands. A methodology for in-lab validation for three selected jammer detection a
