title,year,authors,citations,abstract
Personalized Federated Learning with Moreau Envelopes,2020,"Canh T. Dinh, N. H. Tran, Tuan Dung Nguyen",1332,Federated learning (FL) is a decentralized and privacy-preserving machine learning technique in which a group of clients collaborate with a server to learn a global model without sharing clients' data
Ensemble Distillation for Robust Model Fusion in Federated Learning,2020,"Tao Lin, Lingjing Kong, Sebastian U. Stich",1404,Federated Learning (FL) is a machine learning setting where many devices collaboratively train a machine learning model while keeping the training data decentralized. In most of the current training s
Federated Learning With Differential Privacy: Algorithms and Performance Analysis,2019,"Kang Wei, Jun Li, Ming Ding",2100,"Federated learning (FL), as a type of distributed machine learning, is capable of significantly preserving clients’ private data from being exposed to adversaries. Nevertheless, private information ca"
Federated learning framework based on trimmed mean aggregation rules,2025,"Tianxiang Wang, Zhonglong Zheng, Feilong Lin",87,"This paper studies the problem of information security in the distributed learning framework. In particular, we consider the clients will always be attacked by Byzantine nodes and poisoning in the fed"
Flower: A Friendly Federated Learning Research Framework,2020,"Daniel J. Beutel, Taner Topal, Akhil Mathur",1219,"Federated Learning (FL) has emerged as a promising technique for edge devices to collaboratively learn a shared prediction model, while keeping their training data on the device, thereby decoupling th"
Federated Learning with Matched Averaging,2020,"Hongyi Wang, M. Yurochkin, Yuekai Sun",1356,"Federated learning allows edge devices to collaboratively learn a shared model while keeping the training data on device, decoupling the ability to do model training from the need to store the data in"
Manipulating the Byzantine: Optimizing Model Poisoning Attacks and Defenses for Federated Learning,2021,"Virat Shejwalkar, Amir Houmansadr",622,"—Federated learning (FL) enables many data owners (e.g., mobile devices) to train a joint ML model (e.g., a next-word prediction classiﬁer) without the need of sharing their private training data. How"
Federated Learning on Non-IID Data: A Survey,2021,"Hangyu Zhu, Jinjin Xu, Shiqing Liu",1211,"Federated learning is an emerging distributed machine learning framework for privacy preservation. However, models trained in federated learning usually have worse performance than those trained in th"
Comprehensive Privacy Analysis of Deep Learning: Passive and Active White-box Inference Attacks against Centralized and Federated Learning,2018,"Milad Nasr, R. Shokri, Amir Houmansadr",1747,Deep neural networks are susceptible to various inference attacks as they remember information about their training data. We design white-box inference attacks to perform a comprehensive privacy analy
Client Selection for Federated Learning with Heterogeneous Resources in Mobile Edge,2018,"T. Nishio, Ryo Yonetani",1681,"We envision a mobile edge computing (MEC) framework for machine learning (ML) technologies, which leverages distributed client data and computation resources for training high-performance ML models wh"
Data-Free Knowledge Distillation for Heterogeneous Federated Learning,2021,"Zhuangdi Zhu, Junyuan Hong, Jiayu Zhou",938,Federated Learning (FL) is a decentralized machine-learning paradigm in which a global server iteratively aggregates the model parameters of local users without accessing their data. User heterogeneit
An Efficient Framework for Clustered Federated Learning,2020,"Avishek Ghosh, Jichan Chung, Dong Yin",1163,We address the problem of federated learning (FL) where users are distributed and partitioned into clusters. This setup captures settings where different groups of users have their own objectives (lea
Robust and Communication-Efficient Federated Learning From Non-i.i.d. Data,2019,"Felix Sattler, Simon Wiedemann, K. Müller",1619,"Federated learning allows multiple parties to jointly train a deep learning model on their combined data, without any of the participants having to reveal their local data to a centralized server. Thi"
A Joint Learning and Communications Framework for Federated Learning Over Wireless Networks,2019,"Mingzhe Chen, Zhaohui Yang, W. Saad",1389,"In this article, the problem of training federated learning (FL) algorithms over a realistic wireless network is studied. In the considered model, wireless users execute an FL algorithm while training"
Stochastic Controlled Averaging for Federated Learning with Communication Compression,2023,"Xinmeng Huang, Ping Li, Xiaoyun Li",279,"Communication compression, a technique aiming to reduce the information volume to be transmitted over the air, has gained great interests in Federated Learning (FL) for the potential of alleviating it"
Federated Learning for Mobile Keyboard Prediction,2018,"Andrew Straiton Hard, Kanishka Rao, Rajiv Mathews",1775,"We train a recurrent neural network language model using a distributed, on-device learning framework called federated learning for the purpose of next-word prediction in a virtual keyboard for smartph"
Clustered Federated Learning: Model-Agnostic Distributed Multitask Optimization Under Privacy Constraints,2019,"Felix Sattler, K. Müller, W. Samek",1343,"Federated learning (FL) is currently the most widely adopted framework for collaborative training of (deep) machine learning models under privacy constraints. Albeit its popularity, it has been observ"
FLTrust: Byzantine-robust Federated Learning via Trust Bootstrapping,2020,"Xiaoyu Cao, Minghong Fang, Jia Liu",984,Byzantine-robust federated learning aims to enable a service provider to learn an accurate global model when a bounded number of clients are malicious. The key idea of existing Byzantine-robust federa
Differentially Private Federated Learning: A Client Level Perspective,2017,"Robin C. Geyer, T. Klein, Moin Nabi",1599,"Federated learning is a recent advance in privacy protection. In this context, a trusted curator aggregates parameters optimized in decentralized fashion by multiple clients. The resulting model is th"
Federated Learning with Personalization Layers,2019,"Manoj Ghuhan Arivazhagan, V. Aggarwal, Aaditya Kumar Singh",1183,"The emerging paradigm of federated learning strives to enable collaborative training of machine learning models on the network edge without centrally aggregating raw data and hence, improving data pri"
Adaptive Federated Learning in Resource Constrained Edge Computing Systems,2018,"Shiqiang Wang, Tiffany Tuor, Theodoros Salonidis",2017,"Emerging technologies and applications including Internet of Things, social networking, and crowd-sourcing generate large amounts of data at the network edge. Machine learning models are often built f"
"Federated Learning: Collaborative Machine Learning without
Centralized Training Data",2022,"Abhishek V A, Binny S, Johan T R",770,"Federated learning (also known as collaborative learning) is a machine learning technique that trains
an algorithm without transferring data samples across numerous decentralized edge devices or
serve"
Analyzing Federated Learning through an Adversarial Lens,2018,"A. Bhagoji, Supriyo Chakraborty, Prateek Mittal",1280,"Federated learning distributes model training among a multitude of agents, who, guided by privacy concerns, perform training using their local data but share only model parameter updates, for iterativ"
"Federated learning: Overview, strategies, applications, tools and future directions",2024,"B. Yurdem, M. Kuzlu, M. K. Gullu",151,"Federated learning (FL) is a distributed machine learning process, which allows multiple nodes to work together to train a shared model without exchanging raw data. It offers several key advantages, s"
Improving LoRA in Privacy-preserving Federated Learning,2024,"Youbang Sun, Zitao Li, Yaliang Li",162,Low-rank adaptation (LoRA) is one of the most popular task-specific parameter-efficient fine-tuning (PEFT) methods on pre-trained language models for its good performance and computational efficiency.
A Robust Privacy-Preserving Federated Learning Model Against Model Poisoning Attacks,2024,"Abbas Yazdinejad, A. Dehghantanha, Hadis Karimipour",271,"Although federated learning offers a level of privacy by aggregating user data without direct access, it remains inherently vulnerable to various attacks, including poisoning attacks where malicious a"
Federated learning in medicine: facilitating multi-institutional collaborations without sharing patient data,2020,"Micah J. Sheller, Brandon Edwards, G. Reina",1315,"Several studies underscore the potential of deep learning in identifying complex patterns, leading to diagnostic and prognostic biomarkers. Identifying sufficiently large and diverse datasets, require"
